Name,Rarity,Type,Description,Card Id,Pack Name,Set Number,PacksAwarded
Ancient ceremonial legs,Uncommon,Item,,173,,,0
Ancient ceremonial mask,Uncommon,Item,,174,,,0
Ancient ceremonial top,Uncommon,Item,,175,,,0
Ancient chaps,Mythic,Item,,176,,,0
Ancient cloak,Uncommon,Item,,177,,,0
Ancient coif,Mythic,Item,,178,,,0
Ancient crozier,Rare,Item,,179,,,0
Ancient crystal,Rare,Item,,180,,,0
Ancient d'hide body,Mythic,Item,,181,,,0
Ancient d'hide boots,Mythic,Item,,182,,,0
Ancient d'hide shield,Mythic,Item,,183,,,0
Ancient effigy,Mythic,Item,,184,,,0
Ancient emblem,Rare,Item,,185,,,0
Ancient essence,Uncommon,Item,,186,,,0
Ancient full helm,Rare,Item,,187,,,0
Ancient godsword,Legendary,Item,,188,,,0
Ancient hilt,Legendary,Item,,189,,,0
Ancient kiteshield,Rare,Item,,190,,,0
Ancient mace,Uncommon,Item,,191,,,0
Ancient magicks tablet,Rare,Item,,192,,,0
Ancient medallion,Rare,Item,,193,,,0
Ancient mitre,Uncommon,Item,,194,,,0
Ancient mix,Mythic,Item,,195,,,0
Ancient page 1,Uncommon,Item,,196,,,0
Ancient page 2,Uncommon,Item,,197,,,0
Ancient page 3,Uncommon,Item,,198,,,0
Ancient page 4,Uncommon,Item,,199,,,0
Ancient platebody,Rare,Item,,200,,,0
Ancient platelegs,Rare,Item,,201,,,0
Ancient plateskirt,Rare,Item,,202,,,0
Ancient relic,Mythic,Item,,203,,,0
Ancient robe legs,Uncommon,Item,,204,,,0
Ancient robe top,Uncommon,Item,,205,,,0
Ancient staff,Rare,Item,,206,,,0
Ancient statuette,Rare,Item,,207,,,0
Ancient stole,Uncommon,Item,,208,,,0
Ancient totem,Rare,Item,,209,,,0
Ancient wyvern shield,Legendary,Item,,210,,,0
Angler's paint,Legendary,Item,,211,,,0
Anglerfish,Mythic,Item,,212,,,0
Anguish ornament kit,Common,Item,,213,,,0
Ankou gloves,Uncommon,Item,,214,,,0
Ankou mask,Uncommon,Item,,215,,,0
Ankou socks,Uncommon,Item,,216,,,0
Ankou top,Uncommon,Item,,217,,,0
Ankou's leggings,Uncommon,Item,,218,,,0
Annakarl teleport (tablet),Rare,Item,,219,,,0
Anti-dragon shield,Common,Item,,220,Humble Beginnings,,0
Anti-odour salt,Common,Item,,221,,,0
Anti-poison supermix,Uncommon,Item,,222,,,0
Anti-venom,Rare,Item,,223,,,0
Anti-venom+,Rare,Item,,224,,,0
Antidote+,Rare,Item,,225,,,0
Antidote+ mix,Rare,Item,,226,,,0
Antidote++,Rare,Item,,227,,,0
Antifire mix,Rare,Item,,228,,,0
Antifire potion,Rare,Item,,229,,,0
Antipoison,Common,Item,,230,,,0
Antipoison mix,Common,Item,,231,,,0
Antler guard,Rare,Item,,232,,,0
Ape atoll teleport (tablet),Rare,Item,,233,,,0
Apple mush,Common,Item,,234,,,0
Apple pie,Uncommon,Item,,235,,,0
Apple sapling,Uncommon,Item,,236,,,0
Apple tree seed,Uncommon,Item,,237,,,0
Apples,Common,Item,,238,,,0
Apprentice wand,Uncommon,Item,,239,,,0
Aquanite hopper,Mythic,Item,,240,,,0
Aquanite tendon,Uncommon,Item,,241,,,0
Aranea boots,Legendary,Item,,242,,,0
Araxyte venom sack,Rare,Item,,243,,,0
Arcane prayer scroll,Mythic,Item,,244,,,0
Arcane sigil,Legendary,Item,,245,,,0
Arcane spirit shield,Legendary,Item,,246,,,0
Arceuus banner,Common,Item,,247,,,0
Arceuus hood,Common,Item,,248,,,0
Arceuus library teleport (tablet),Uncommon,Item,,249,,,0
Arceuus scarf,Common,Item,,250,,,0
Archer helm,Rare,Item,,251,,,0
Archer icon,Rare,Item,,252,,,0
Archers ring,Mythic,Item,,253,,,0
Archery ticket,Common,Item,,254,,,0
Arctic pine logs,Uncommon,Item,,255,,,0
Arctic pine needles,Common,Item,,256,,,0
Arctic pyre logs,Uncommon,Item,,257,,,0
Ardougne teleport (tablet),Common,Item,,258,,,0
Arena book,Common,Item,,259,,,0
Armadyl bracers,Mythic,Item,,260,,,0
Armadyl brew,Rare,Item,,261,,,0
Armadyl chainskirt,Rare,Item,,262,,,0
Armadyl chaps,Mythic,Item,,263,,,0
Armadyl chestplate,Rare,Item,,264,,,0
Armadyl cloak,Uncommon,Item,,265,,,0
Armadyl coif,Rare,Item,,266,,,0
Armadyl crossbow,Legendary,Item,,267,,,0
Armadyl crozier,Uncommon,Item,,268,,,0
Armadyl d'hide body,Mythic,Item,,269,,,0
Armadyl d'hide boots,Mythic,Item,,270,,,0
Armadyl d'hide shield,Mythic,Item,,271,,,0
Armadyl full helm,Rare,Item,,272,,,0
Armadyl godsword,Legendary,Item,,273,,,0
Armadyl godsword ornament kit,Common,Item,,274,,,0
Armadyl helmet,Rare,Item,,275,,,0
Armadyl hilt,Legendary,Item,,276,,,0
Armadyl kiteshield,Rare,Item,,277,,,0
Armadyl mitre,Uncommon,Item,,278,,,0
Armadyl page 1,Uncommon,Item,,279,,,0
Armadyl page 2,Uncommon,Item,,280,,,0
Armadyl page 3,Uncommon,Item,,281,,,0
Armadyl page 4,Uncommon,Item,,282,,,0
Armadyl platebody,Rare,Item,,283,,,0
Armadyl platelegs,Rare,Item,,284,,,0
Armadyl plateskirt,Rare,Item,,285,,,0
Armadyl robe legs,Rare,Item,,286,,,0
Armadyl robe top,Rare,Item,,287,,,0
Armadyl stole,Uncommon,Item,,288,,,0
Armadylean plate,Legendary,Item,,289,,,0
Arrow shaft,Common,Item,,290,Jewel of Misthalin,,0
Asgarnian ale,Common,Item,,291,Knights of Saradomin,,0
Asgarnian ale (flatpack),Common,Item,,292,,,0
Asgarnian ale (keg),Common,Item,,293,,,0
Asgarnian ale (Player-owned house),Common,Item,,294,,,0
Asgarnian ale(m),Common,Item,,295,,,0
Asgarnian ale(m) (keg),Common,Item,,296,,,0
Asgarnian hops,Common,Item,,297,Humble Beginnings,,0
Asgarnian seed,Common,Item,,298,Mages of the Shore,,0
Ashes,Common,Item,,299,Humble Beginnings,,0
Assorted flowers,Common,Item,,300,,,0
Astral rune,Rare,Item,,301,,,0
Astronomy book,Common,Item,,302,,,0
Atlatl dart,Rare,Item,,303,,,0
Atlatl dart shaft,Common,Item,,304,,,0
Atlatl dart tips,Common,Item,,305,,,0
Attack mix,Common,Item,,306,,,0
Attack potion,Common,Item,,307,,,0
Avantoe,Mythic,Item,,308,Knights of Saradomin,,0
Avantoe potion (unf),Uncommon,Item,,309,,,0
Avantoe seed,Mythic,Item,,310,,,0
Avernic defender hilt,Legendary,Item,,311,,,0
Avernic treads,Legendary,Item,,312,,,0
Awakener's orb,Rare,Item,,313,,,0
Axeman's folly,Common,Item,,314,,,0
Axeman's folly (keg),Common,Item,,315,,,0
Axeman's folly(m),Common,Item,,316,,,0
Axeman's folly(m) (keg),Common,Item,,317,,,0
Baby impling jar,Common,Item,,318,,,0
Babydragon bones,Uncommon,Item,,319,,,0
Bag of salt,Common,Item,,320,Mages of the Shore,,0
Bagged bluebells,Common,Item,,321,,,0
Bagged daffodils,Common,Item,,322,,,0
Bagged dead tree,Common,Item,,323,,,0
Bagged flower,Common,Item,,324,,,0
Bagged magic tree,Common,Item,,325,,,0
Bagged maple tree,Common,Item,,326,,,0
Bagged marigolds,Common,Item,,327,,,0
Bagged nice tree,Common,Item,,328,,,0
Bagged oak tree,Common,Item,,329,,,0
Bagged plant 1,Common,Item,,330,,,0
Bagged plant 2,Common,Item,,331,,,0
Bagged plant 3,Common,Item,,332,,,0
Bagged roses,Common,Item,,333,,,0
Bagged sunflower,Common,Item,,334,,,0
Bagged willow tree,Common,Item,,335,,,0
Bagged yew tree,Common,Item,,336,,,0
Bailing bucket,Common,Item,,337,,,0
Bait pack,Common,Item,,338,,,0
Baked potato,Common,Item,,339,Humble Beginnings,,0
Bale of flax,Common,Item,,340,,,0
Ball of wool,Common,Item,,341,Humble Beginnings,,0
Ballista limbs,Uncommon,Item,,342,,,0
Ballista spring,Uncommon,Item,,343,,,0
Banana,Common,Item,,344,Ports and POHs,,0
Banana sapling,Common,Item,,345,,,0
Banana stew,Uncommon,Item,,346,,,0
Banana tree seed,Common,Item,,347,,,0
Bananas,Common,Item,,348,,,0
Bandana eyepatch (blue),Common,Item,,349,,,0
Bandana eyepatch (brown),Common,Item,,350,,,0
Bandana eyepatch (red),Common,Item,,351,,,0
Bandana eyepatch (white),Common,Item,,352,,,0
Bandit's brew,Common,Item,,353,,,0
Bandos boots,Mythic,Item,,354,,,0
Bandos bracers,Mythic,Item,,355,,,0
Bandos chaps,Mythic,Item,,356,,,0
Bandos chestplate,Legendary,Item,,357,,,0
Bandos cloak,Uncommon,Item,,358,,,0
Bandos coif,Mythic,Item,,359,,,0
Bandos crozier,Uncommon,Item,,360,,,0
Bandos d'hide body,Mythic,Item,,361,,,0
Bandos d'hide boots,Mythic,Item,,362,,,0
Bandos d'hide shield,Mythic,Item,,363,,,0
Bandos full helm,Rare,Item,,364,,,0
Bandos godsword,Legendary,Item,,365,,,0
Bandos godsword ornament kit,Common,Item,,366,,,0
Bandos hilt,Legendary,Item,,367,,,0
Bandos kiteshield,Rare,Item,,368,,,0
Bandos mitre,Uncommon,Item,,369,,,0
Bandos page 1,Uncommon,Item,,370,,,0
Bandos page 2,Uncommon,Item,,371,,,0
Bandos page 3,Uncommon,Item,,372,,,0
Bandos page 4,Uncommon,Item,,373,,,0
Bandos platebody,Rare,Item,,374,,,0
Bandos platelegs,Rare,Item,,375,,,0
Bandos plateskirt,Rare,Item,,376,,,0
Bandos robe legs,Uncommon,Item,,377,,,0
Bandos robe top,Uncommon,Item,,378,,,0
Bandos stole,Uncommon,Item,,379,,,0
Bandos tassets,Legendary,Item,,380,,,0
Bandosian components,Mythic,Item,,381,,,0
Barb bolttips,Uncommon,Item,,382,,,0
Barb-tail harpoon,Uncommon,Item,,383,,,0
Barbarian teleport (tablet),Uncommon,Item,,384,,,0
Barbed bolts,Uncommon,Item,,385,,,0
Bark,Common,Item,,386,,,0
Barley,Common,Item,,387,,,0
Barley malt,Common,Item,,388,,,0
Barley seed,Common,Item,,389,Mages of the Shore,,0
Barnacle blaster,Common,Item,,390,,,0
Barracuda paint,Common,Item,,391,,,0
Barrel,Common,Item,,392,,,0
Barrel of demonic tallow,Rare,Item,,393,,,0
Barrows teleport (tablet),Rare,Item,,394,,,0
Basalt,Uncommon,Item,,395,,,0
Basic repair kit,Common,Item,,396,,,0
Basilisk jaw,Mythic,Item,,397,,,0
Basket,Common,Item,,398,,,0
Basket pack,Common,Item,,399,,,0
Bass,Uncommon,Item,,400,,,0
Bastion potion,Rare,Item,,401,,,0
Bat bones,Common,Item,,402,Humble Beginnings,,0
Batta tin,Common,Item,,403,,,0
Battlefront teleport (tablet),Common,Item,,404,,,0
Battlemage potion,Rare,Item,,405,,,0
Battlestaff,Common,Item,,406,Jewel of Misthalin,,0
Beanie,Common,Item,,407,,,0
Bear feet,Common,Item,,408,,,0
Bear fur,Common,Item,,409,Jewel of Misthalin,,0
Beer,Common,Item,,410,Humble Beginnings,,0
Beer (Player-owned house),Common,Item,,411,,,0
Beer barrel (flatpack),Common,Item,,412,,,0
Beer glass,Common,Item,,413,Humble Beginnings,,0
Beer glass (Player-owned house),Common,Item,,414,,,0
Beer tankard,Common,Item,,415,,,0
Beginner wand,Uncommon,Item,,416,,,0
Belladonna seed,Rare,Item,,417,Jewel of Misthalin,,0
Bellator ring,Legendary,Item,,418,,,0
Belle's folly,Mythic,Item,,419,,,0
Belle's folly (tarnished),Uncommon,Item,,420,,,0
Berserker helm,Rare,Item,,421,,,0
Berserker icon,Rare,Item,,422,,,0
Berserker necklace,Mythic,Item,,423,,,0
Berserker necklace ornament kit,Common,Item,,424,,,0
Berserker ring,Rare,Item,,425,,,0
Big bones,Common,Item,,426,,,0
Big fishing net,Common,Item,,427,,,0
Big pearl,Common,Item,,428,,,0
Big pirate hat,Common,Item,,429,,,0
Binding necklace,Uncommon,Item,,430,,,0
Bird house (item),Common,Item,,431,,,0
Bird nest (empty),Uncommon,Item,,432,Humble Beginnings,,0
Bird snare,Common,Item,,433,,,0
Bird snare pack,Common,Item,,434,,,0
Black 2h sword,Uncommon,Item,,435,,,0
Black axe,Uncommon,Item,,436,,,0
Black battleaxe,Uncommon,Item,,437,,,0
Black bead,Common,Item,,438,Mages of the Shore,,0
Black beret,Common,Item,,439,,,0
Black boater,Common,Item,,440,,,0
Black boots,Uncommon,Item,,441,,,0
Black brutal,Uncommon,Item,,442,,,0
Black cane,Uncommon,Item,,443,,,0
Black cape,Common,Item,,444,Mages of the Shore,,0
Black cavalier,Common,Item,,445,,,0
Black chainbody,Uncommon,Item,,446,Knights of Saradomin,,0
Black chinchompa,Mythic,Item,,447,,,0
Black claws,Uncommon,Item,,448,The Concealed King,,0
Black d'hide body,Mythic,Item,,449,,,0
Black d'hide body (g),Mythic,Item,,450,,,0
Black d'hide body (t),Mythic,Item,,451,,,0
Black d'hide chaps,Mythic,Item,,452,,,0
Black d'hide chaps (g),Mythic,Item,,453,,,0
Black d'hide chaps (t),Mythic,Item,,454,,,0
Black d'hide shield,Mythic,Item,,455,,,0
Black d'hide vambraces,Mythic,Item,,456,,,0
Black dagger,Uncommon,Item,,457,Jewel of Misthalin,,0
Black dart,Uncommon,Item,,458,,,0
Black demon mask,Common,Item,,459,,,0
Black desert robe,Common,Item,,460,,,0
Black desert shirt,Common,Item,,461,,,0
Black dragon leather,Rare,Item,,462,,,0
Black dragon mask,Common,Item,,463,,,0
Black dragonhide,Rare,Item,,464,,,0
Black elegant legs,Common,Item,,465,,,0
Black elegant shirt,Common,Item,,466,,,0
Black felling axe,Uncommon,Item,,467,,,0
Black flowers,Common,Item,,468,,,0
Black full helm,Uncommon,Item,,469,Jewel of Misthalin,,0
Black full helm (g),Uncommon,Item,,470,,,0
Black full helm (t),Uncommon,Item,,471,,,0
Black halberd,Uncommon,Item,,472,,,0
Black headband,Uncommon,Item,,473,,,0
Black helm (h1),Uncommon,Item,,474,,,0
Black helm (h2),Uncommon,Item,,475,,,0
Black helm (h3),Uncommon,Item,,476,,,0
Black helm (h4),Uncommon,Item,,477,,,0
Black helm (h5),Uncommon,Item,,478,,,0
Black kiteshield,Uncommon,Item,,479,,,0
Black kiteshield (g),Uncommon,Item,,480,,,0
Black kiteshield (t),Uncommon,Item,,481,,,0
Black knife,Uncommon,Item,,482,Fallen Empires,,0
Black leprechaun hat,Common,Item,,483,,,0
Black locks,Uncommon,Item,,484,,,0
Black longsword,Uncommon,Item,,485,Jewel of Misthalin,,0
Black mace,Uncommon,Item,,486,,,0
Black mask,Mythic,Item,,487,,,0
Black med helm,Uncommon,Item,,488,,,0
Black nails,Uncommon,Item,,489,,,0
Black pickaxe,Uncommon,Item,,490,,,0
Black platebody,Uncommon,Item,,491,Jewel of Misthalin,,0
Black platebody (g),Uncommon,Item,,492,,,0
Black platebody (h1),Uncommon,Item,,493,,,0
Black platebody (h2),Uncommon,Item,,494,,,0
Black platebody (h3),Uncommon,Item,,495,,,0
Black platebody (h4),Uncommon,Item,,496,,,0
Black platebody (h5),Uncommon,Item,,497,,,0
Black platebody (t),Uncommon,Item,,498,,,0
Black platelegs,Uncommon,Item,,499,Emir’s Dominion,,0
Black platelegs (g),Uncommon,Item,,500,,,0
Black platelegs (t),Uncommon,Item,,501,,,0
Black plateskirt,Uncommon,Item,,502,Emir’s Dominion,,0
Black plateskirt (g),Uncommon,Item,,503,,,0
Black plateskirt (t),Uncommon,Item,,504,,,0
Black robe,Common,Item,,505,Mages of the Shore,MoS-1,0
Black salamander,Rare,Item,,506,,,0
Black satchel,Common,Item,,507,,,0
Black scimitar,Uncommon,Item,,508,,,0
Black shield (h1),Uncommon,Item,,509,,,0
Black shield (h2),Uncommon,Item,,510,,,0
Black shield (h3),Uncommon,Item,,511,,,0
Black shield (h4),Uncommon,Item,,512,,,0
Black shield (h5),Uncommon,Item,,513,,,0
Black skirt,Uncommon,Item,,514,,,0
Black skirt (g),Uncommon,Item,,515,,,0
Black skirt (t),Uncommon,Item,,516,,,0
Black spear,Uncommon,Item,,517,,,0
Black spiky vambraces,Mythic,Item,,518,,,0
Black sq shield,Uncommon,Item,,519,Jewel of Misthalin,,0
Black sword,Uncommon,Item,,520,Jewel of Misthalin,,0
Black tourmaline core,Rare,Item,,521,,,0
Black toy horsey,Common,Item,,522,Mages of the Shore,,0
Black unicorn mask,Common,Item,,523,,,0
Black warhammer,Uncommon,Item,,524,,,0
Black warlock (item),Rare,Item,,525,,,0
Black warlock mix,Rare,Item,,526,,,0
Black wizard hat (g),Common,Item,,527,,,0
Black wizard hat (t),Common,Item,,528,,,0
Black wizard robe (g),Common,Item,,529,,,0
Black wizard robe (t),Common,Item,,530,,,0
Blackbird red,Common,Item,,531,,,0
Blacksmith's helm,Common,Item,,532,,,0
Blade of saeldor,Legendary,Item,,533,,,0
Blamish bark shell,Common,Item,,534,,,0
Blamish blue shell (pointed),Common,Item,,535,,,0
Blamish blue shell (round),Common,Item,,536,,,0
Blamish myre shell (pointed),Common,Item,,537,,,0
Blamish myre shell (round),Common,Item,,538,,,0
Blamish ochre shell (pointed),Common,Item,,539,,,0
Blamish ochre shell (round),Common,Item,,540,,,0
Blamish red shell (pointed),Common,Item,,541,,,0
Blamish red shell (round),Common,Item,,542,,,0
Blessed spirit shield,Mythic,Item,,543,,,0
Blighted ancient ice sack,Uncommon,Item,,544,,,0
Blighted anglerfish,Uncommon,Item,,545,,,0
Blighted bind sack,Uncommon,Item,,546,,,0
Blighted entangle sack,Uncommon,Item,,547,,,0
Blighted karambwan,Uncommon,Item,,548,,,0
Blighted manta ray,Uncommon,Item,,549,,,0
Blighted overload,Uncommon,Item,,550,,,0
Blighted snare sack,Uncommon,Item,,551,,,0
Blighted super restore,Uncommon,Item,,552,,,0
Blighted teleport spell sack,Uncommon,Item,,553,,,0
Blighted vengeance sack,Uncommon,Item,,554,,,0
Blood essence,Rare,Item,,555,,,0
Blood moon armour set,Mythic,Item,,556,,,0
Blood moon chestplate,Mythic,Item,,557,,,0
Blood moon helm,Mythic,Item,,558,,,0
Blood moon tassets,Mythic,Item,,559,,,0
Blood pint,Common,Item,,560,,,0
Blood rune,Rare,Item,,561,Jewel of Misthalin,,0
Blood shard,Mythic,Item,,562,,,0
Blood talisman,Uncommon,Item,,563,,,0
Blood tiara,Uncommon,Item,,564,,,0
Blood'n'tar snelm,Common,Item,,565,,,0
Bloodbark armour set,Rare,Item,,566,,,0
Bloodbark body,Rare,Item,,567,,,0
Bloodbark boots,Rare,Item,,568,,,0
Bloodbark gauntlets,Rare,Item,,569,,,0
Bloodbark helm,Rare,Item,,570,,,0
Bloodbark legs,Rare,Item,,571,,,0
Bloody bracer,Common,Item,,572,,,0
Blue beret,Common,Item,,573,,,0
Blue boater,Common,Item,,574,,,0
Blue boots,Common,Item,,575,,,0
Blue cape,Common,Item,,576,Jewel of Misthalin,,0
Blue crab,Common,Item,,577,,,0
Blue crab meat,Uncommon,Item,,578,,,0
Blue d'hide body,Rare,Item,,579,,,0
Blue d'hide body (g),Rare,Item,,580,,,0
Blue d'hide body (t),Rare,Item,,581,,,0
Blue d'hide chaps,Rare,Item,,582,,,0
